slug,name,category,lat,lng,address,barangay,city,opening_hours,price_min_php,price_max_php,indoor,sunset_facing,social_url,contact_number,notes,verified_on,verified_method
demo-kim-taegon-shrine,St. Andrew Kim Taegon Shrine,landmark,14.789200,120.932000,Lolomboy,Lolomboy,Bocaue,tue-sun 10:00-17:00,0,0,false,false,,,"Peaceful and photogenic. Korean architecture, and quiet enough to talk.",,generated
demo-victoria-city-garden,Victoria City Garden & Animal World,park,14.802300,120.950700,Igulot,Igulot,Bocaue,mon-sun 08:00-20:00,125,200,false,true,,,"Playful and interactive. Good for a sunset walk once the heat drops.",,generated
demo-krus-sa-wawa,Krus sa Wawa & St. Martin of Tours Parish,landmark,14.801500,120.930400,Poblacion,Poblacion,Bocaue,mon-sun 06:00-19:00,0,0,false,false,,,"Historic and central. The grounds are open air and cost nothing to sit in.",,generated
demo-arena-grounds,Philippine Arena Stadium Grounds,sports,14.793600,120.950200,Wakas,Wakas,Bocaue,mon-sun 05:00-21:00,0,0,false,true,,,"Grand and open air. Walk the perimeter; it is free and the light is good late.",,generated
demo-stevia-farm,The Stevia Farm,cafe,14.811500,120.941200,Tambobong,Tambobong,Bocaue,mon-sat 08:00-17:00,100,180,false,false,,,"Green and unhurried. Closes before dinner, so this is a daytime stop.",,generated
demo-riverwalk-promenade,Bocaue Riverwalk Promenade,park,14.798500,120.928800,Bambang,Bambang,Bocaue,mon-sun 24h,0,0,false,true,,,"Riverside and breezy. Best around 17:30 when the light comes off the water.",,generated
demo-turo-fireworks-hub,Turo Fireworks Hub,vendor,14.805500,120.942500,Turo,Turo,Bocaue,mon-sun 09:00-20:00,250,400,true,false,,,"Bright and festive. This is what the town is known for; go for the sparklers.",,generated
demo-cafe-galilea,Cafe Galilea,cafe,14.790100,120.931000,Lolomboy,Lolomboy,Bocaue,mon-sun 11:00-22:00,175,280,true,false,,,"Cosy and aesthetic. Open late enough to be an after-dinner stop.",,generated
demo-kape-at-kultura,Kape at Kultura,cafe,14.802100,120.931500,Poblacion,Poblacion,Bocaue,mon-sun 07:00-21:00,125,200,true,false,,,"Warm and heritage-leaning. Opens early, so it works as a first stop.",,generated
demo-turo-night-food-park,Turo Night Food Park,food,14.807500,120.941000,Turo,Turo,Bocaue,mon-sun 17:00-23:30,75,150,false,false,,,"Bustling and casual. Evenings only, and cheap enough to graze across stalls.",,generated
demo-estero-binang-eats,Estero de Biñang Eats,restaurant,14.799500,120.935500,Biñang 2nd,Biñang 2nd,Bocaue,mon-sun 10:00-21:00,200,320,true,false,,,"Comfort food, rustic room, friendly service.",,generated
demo-la-casa-art-coffee,La Casa Art & Coffee,cafe,14.796000,120.938000,Bunlo,Bunlo,Bocaue,wed-sun 13:00-21:00,300,450,true,false,,,"Creative and hands-on. Pottery and coffee; closed Monday and Tuesday.",,generated
demo-ciudad-dining-room,Ciudad Dining Room,restaurant,14.801000,120.951500,Igulot,Igulot,Bocaue,tue-sun 17:00-23:00,600,900,true,false,,,"Elegant and upscale. This is the anniversary room, not the weeknight one.",,generated
demo-el-manzano,El Manzano Ancestral Home,restaurant,14.806000,120.933500,Antipona,Antipona,Bocaue,fri-sun 16:00-22:00,400,650,true,false,,,"Vintage and intimate. Weekends only, and the house itself is half the visit.",,generated
demo-ligo-ligo-retreat,Ligo-Ligo Riverside Retreat,park,14.814000,120.945000,Taal,Taal,Bocaue,mon-sun 09:00-18:00,750,1000,false,true,,,"Private and tropical. Furthest out of the set, so budget for the trike.",,generated
